# x_m,y_m,w_tr_right_m,w_tr_left_m
5.4935,-23.2208,1.0548,1.0548
5.5435,-23.2208,1.0817,1.0817
5.5935,-23.1708,1.0700,1.0700
5.6435,-23.1708,1.1011,1.1011
5.6935,-23.1708,1.1102,1.1102
5.7435,-23.1708,1.0817,1.0817
5.7935,-23.1208,1.0977,1.0977
5.8435,-23.0708,1.1180,1.1180
5.8935,-23.0208,1.1413,1.1413
5.9435,-22.9708,1.1630,1.1630
5.9935,-22.9208,1.1715,1.1715
6.0435,-22.8708,1.1800,1.1800
6.0435,-22.8208,1.1511,1.1511
6.0435,-22.7708,1.1236,1.1236
6.0935,-22.7208,1.1413,1.1413
6.0935,-22.6708,1.1180,1.1180
6.0935,-22.6208,1.0966,1.0966
6.1435,-22.5708,1.1236,1.1236
6.1435,-22.5208,1.1068,1.1068
6.1435,-22.4708,1.0920,1.0920
6.1935,-22.4208,1.1236,1.1236
6.1935,-22.3708,1.1068,1.1068
6.1935,-22.3208,1.0920,1.0920
6.2435,-22.2708,1.1281,1.1281
6.2435,-22.2208,1.1180,1.1180
6.2435,-22.1708,1.1102,1.1102
6.2935,-22.1208,1.1543,1.1543
6.2935,-22.0708,1.1511,1.1511
6.2935,-22.0208,1.1500,1.1500
6.3435,-21.9708,1.2000,1.2000
6.3435,-21.9208,1.2000,1.2000
6.3435,-21.8708,1.2010,1.2010
6.3435,-21.8208,1.2042,1.2042
6.3935,-21.7708,1.2590,1.2590
6.3935,-21.7208,1.2659,1.2659
6.3935,-21.6708,1.2748,1.2748
6.3935,-21.6208,1.2855,1.2855
6.4435,-21.5708,1.3463,1.3463
6.4435,-21.5208,1.3537,1.3537
6.4435,-21.4708,1.3583,1.3583
6.4435,-21.4208,1.3647,1.3647
6.4935,-21.3708,1.4221,1.4221
6.4935,-21.3208,1.4318,1.4318
6.4935,-21.2708,1.4431,1.4431
6.4935,-21.2208,1.4560,1.4560
6.4935,-21.1708,1.4705,1.4705
6.5435,-21.1208,1.5297,1.5297
6.5435,-21.0708,1.5403,1.5403
6.5435,-21.0208,1.5524,1.5524
6.5435,-20.9708,1.5660,1.5660
6.5435,-20.9208,1.5788,1.5788
6.5935,-20.8708,1.6378,1.6378
6.5935,-20.8208,1.6492,1.6492
6.5935,-20.7708,1.6621,1.6621
6.5935,-20.7208,1.6763,1.6763
6.5935,-20.6708,1.6867,1.6867
6.6435,-20.6208,1.7464,1.7464
6.6435,-20.5708,1.7586,1.7586
6.5935,-20.5208,1.7241,1.7241
6.5935,-20.4708,1.7357,1.7357
6.5935,-20.4208,1.7464,1.7464
6.5935,-20.3708,1.7586,1.7586
6.5935,-20.3208,1.7586,1.7586
6.5435,-20.2708,1.7393,1.7393
6.5435,-20.2208,1.7557,1.7557
6.5435,-20.1708,1.7720,1.7720
6.5435,-20.1208,1.7586,1.7586
6.5435,-20.0708,1.7464,1.7464
6.4935,-20.0208,1.7586,1.7586
6.4935,-19.9708,1.7720,1.7720
6.4935,-19.9208,1.7586,1.7586
6.4935,-19.8708,1.7464,1.7464
6.4935,-19.8208,1.7357,1.7357
6.4435,-19.7708,1.7720,1.7720
6.4435,-19.7208,1.7586,1.7586
6.4435,-19.6708,1.7464,1.7464
6.4435,-19.6208,1.7357,1.7357
6.4435,-19.5708,1.7241,1.7241
6.3935,-19.5208,1.7586,1.7586
6.3935,-19.4708,1.7464,1.7464
6.3935,-19.4208,1.7357,1.7357
6.3935,-19.3708,1.7263,1.7263
6.3435,-19.3208,1.7678,1.7678
6.3435,-19.2708,1.7586,1.7586
6.3435,-19.2208,1.7464,1.7464
6.3435,-19.1708,1.7357,1.7357
6.2935,-19.1208,1.7755,1.7755
6.2935,-19.0708,1.7678,1.7678
6.2935,-19.0208,1.7586,1.7586
6.2935,-18.9708,1.7464,1.7464
6.2435,-18.9208,1.7847,1.7847
6.2435,-18.8708,1.7755,1.7755
6.2435,-18.8208,1.7678,1.7678
6.2435,-18.7708,1.7586,1.7586
6.2435,-18.7208,1.7464,1.7464
6.2435,-18.6708,1.7357,1.7357
6.2435,-18.6208,1.7263,1.7263
6.1935,-18.5708,1.7678,1.7678
6.1935,-18.5208,1.7586,1.7586
6.1935,-18.4708,1.7464,1.7464
6.1935,-18.4208,1.7357,1.7357
6.1935,-18.3708,1.7263,1.7263
6.1435,-18.3208,1.7678,1.7678
6.1435,-18.2708,1.7586,1.7586
6.1435,-18.2208,1.7464,1.7464
6.1435,-18.1708,1.7357,1.7357
6.1435,-18.1208,1.7263,1.7263
6.1435,-18.0708,1.7183,1.7183
6.1435,-18.0208,1.7117,1.7117
6.1435,-17.9708,1.7066,1.7066
6.0935,-17.9208,1.7529,1.7529
6.0935,-17.8708,1.7464,1.7464
6.0935,-17.8208,1.7357,1.7357
6.0935,-17.7708,1.7263,1.7263
6.0935,-17.7208,1.7183,1.7183
6.0935,-17.6708,1.7117,1.7117
6.0935,-17.6208,1.7066,1.7066
6.0935,-17.5708,1.7029,1.7029
6.0935,-17.5208,1.7007,1.7007
